2025-08-21 20:30:38 [INFO]: Loading Overrides...
2025-08-21 20:30:38 [INFO]: Loading World Types...
2025-08-21 20:30:38 [INFO]: - World Type for 'world' set to 'NORMAL'
2025-08-21 20:30:38 [INFO]: - World Type for 'world_nether' set to 'NETHER'
2025-08-21 20:30:38 [INFO]: - World Type for 'world_the_end' set to 'NORMAL'
2025-08-21 20:30:38 [INFO]: Loading Defaults...
2025-08-21 20:30:38 [INFO]: Loading Custom Worlds...
2025-08-21 20:30:38 [INFO]: [WARN] - Custom World 'custom_world_1' was not registered because world does NOT exist
2025-08-21 20:30:38 [INFO]: [WARN] - Custom World 'other_custom_world' was not registered because world does NOT exist
2025-08-21 20:30:38 [SEVERE]: The particle 'EXPLOSION_NORMAL' created a fatal error when loading particles! Your MC version isn't supported!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world configured and loaded!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world_nether configured and loaded!
2025-08-21 20:30:38 [INFO]: Database COOLDOWN:world_the_end configured and loaded!
2025-08-21 20:30:38 [INFO]: Database QUEUE:Queue configured and loaded!
2025-08-21 20:30:38 [INFO]: Database PLAYERS:Players configured and loaded!
2025-08-21 20:30:38 [INFO]: Database CHUNK_DATA:ChunkData configured and loaded!
2025-08-21 20:30:39 [INFO]: Attempting to queue up some more safe locations...
2025-08-21 20:30:41 [INFO]: -Removed a queue Location{world=CraftWorld{name=world},x=-860.5,y=72.0,z=-731.5,pitch=-3.3000069,yaw=88.200516}
2025-08-21 20:31:05 [INFO]: Queue position generated: id= default_world, database_ID= 21, location= x: 5290, y: 98, z: -6001, world: world
2025-08-21 20:31:09 [INFO]: Queue position generated: id= default_world, database_ID= 22, location= x: 5623, y: 63, z: 7470, world: world
2025-08-21 20:31:16 [INFO]: Queue position generated: id= default_world, database_ID= 23, location= x: 2569, y: 121, z: -7638, world: world
2025-08-21 20:31:19 [INFO]: Queue position generated: id= default_world, database_ID= 24, location= x: 6943, y: 105, z: -4660, world: world
2025-08-21 20:31:23 [INFO]: Queue position generated: id= default_world, database_ID= 25, location= x: 3457, y: 65, z: -8372, world: world
2025-08-21 20:31:29 [INFO]: Queue position generated: id= default_world, database_ID= 26, location= x: -9776, y: 69, z: 3247, world: world
2025-08-21 20:31:32 [INFO]: Queue position generated: id= default_world, database_ID= 27, location= x: -8251, y: 69, z: 8033, world: world
2025-08-21 20:31:34 [INFO]: Queue position generated: id= default_world, database_ID= 28, location= x: 3795, y: 80, z: -2486, world: world
2025-08-21 20:31:39 [INFO]: Queue position generated: id= default_world, database_ID= 29, location= x: -7505, y: 78, z: -8842, world: world
2025-08-21 20:31:41 [INFO]: Queue position generated: id= default_world, database_ID= 30, location= x: 2663, y: 162, z: -4647, world: world
2025-08-21 20:31:48 [INFO]: Queue position generated: id= default_world, database_ID= 31, location= x: 5201, y: 63, z: 7086, world: world
2025-08-21 20:31:51 [INFO]: Queue position generated: id= default_world, database_ID= 32, location= x: -8112, y: 79, z: -4177, world: world
2025-08-21 20:31:57 [INFO]: Queue position generated: id= default_world, database_ID= 33, location= x: -4237, y: 71, z: 1043, world: world
2025-08-21 20:32:02 [INFO]: Queue position generated: id= default_world, database_ID= 34, location= x: 6856, y: 69, z: -2975, world: world
2025-08-21 20:32:04 [INFO]: Queue position generated: id= default_world, database_ID= 35, location= x: -6835, y: 63, z: 9519, world: world
2025-08-21 20:32:10 [INFO]: Queue position generated: id= default_world, database_ID= 36, location= x: 9361, y: 74, z: -3892, world: world
2025-08-21 20:32:13 [INFO]: Queue position generated: id= default_world, database_ID= 37, location= x: 6844, y: 120, z: -4672, world: world
2025-08-21 20:32:15 [INFO]: Queue position generated: id= default_world, database_ID= 38, location= x: -966, y: 65, z: -4161, world: world
2025-08-21 20:32:17 [INFO]: Queue position generated: id= default_world, database_ID= 39, location= x: -516, y: 96, z: -4159, world: world
2025-08-21 20:32:19 [INFO]: Queue position generated: id= default_world, database_ID= 40, location= x: -4107, y: 73, z: -3303, world: world
2025-08-21 20:32:24 [INFO]: Queue position generated: id= default_world, database_ID= 41, location= x: 8813, y: 93, z: 6285, world: world
2025-08-21 20:32:26 [INFO]: Queue position generated: id= default_world, database_ID= 42, location= x: 4992, y: 63, z: 5447, world: world
2025-08-21 20:32:30 [INFO]: Queue position generated: id= default_world, database_ID= 43, location= x: 6118, y: 68, z: -1729, world: world
2025-08-21 20:32:35 [INFO]: Queue position generated: id= default_world, database_ID= 44, location= x: -5310, y: 111, z: -7543, world: world
2025-08-21 20:32:37 [INFO]: Queue position generated: id= default_world, database_ID= 45, location= x: 8390, y: 75, z: 1319, world: world
2025-08-21 20:32:45 [INFO]: Queue position generated: id= default_world, database_ID= 46, location= x: 894, y: 94, z: 3160, world: world
2025-08-21 20:32:52 [INFO]: Max attempts to create a Queue reached for default_world (amount: 26)
